"","country","year","child_mortality","life_expectancy","dalys","GINI_coef","GDP_percap","child_elderly_per100","govspending_percentoftotal","total_healthspending","gov_share_healthspending","privateshare"
"1","Afghanistan",1995,150,51.1,91435.5600562498,36.8,NA,100,NA,NA,NA,NA
"2","Afghanistan",1996,145,51.4,89343.7935409802,36.8,NA,101,NA,NA,NA,NA
"3","Afghanistan",1997,141,51.1,89603.6890325463,36.8,NA,102,NA,NA,NA,NA
"4","Afghanistan",1998,137,50.1,92889.3110370671,36.8,NA,103,NA,NA,NA,NA
"5","Afghanistan",1999,133,51.5,88708.2644737095,36.8,NA,103,NA,NA,NA,NA
"6","Afghanistan",2000,130,51.6,88007.2707653564,36.8,NA,103,NA,NA,NA,NA
"7","Afghanistan",2001,126,51.7,87059.0677756311,36.8,NA,103,NA,NA,NA,NA
"8","Afghanistan",2002,122,52.4,81936.1630710162,36.8,179,102,1.48,5.72,5.62,94.4
"9","Afghanistan",2003,118,53,79011.7493892429,36.8,191,101,1.48,6.82,6.83,93.2
"10","Afghanistan",2004,114,53.5,78126.901766145,36.8,211,100,1.48,6.36,7.81,92.2
"11","Afghanistan",2005,110,53.9,75879.6138008017,36.8,242,99.1,1.48,6.63,11.6,88.5
"12","Afghanistan",2006,106,54.1,75742.3191710595,36.8,264,99.6,1.48,6.77,11.8,88.2
"13","Afghanistan",2007,102,54.6,74522.0456988803,36.8,360,100,1.48,7.3,12.2,87.8
"14","Afghanistan",2008,98.2,55.2,71463.853664266,36.8,365,100,1.48,6.98,11.8,88.2
"15","Afghanistan",2009,94.1,55.7,69850.8563324786,36.8,438,100,1.58,7.58,11.6,88.4
"16","Afghanistan",2010,90.2,56.2,67908.0081905116,36.8,543,99.5,1.59,7.58,11.7,88.3
"17","Albania",1995,32.9,74.1,29787.5488488856,27.2,751,64.2,5.26,2.56,50,50
"18","Albania",1996,31.5,74.3,29877.5661514711,27.5,1010,63.2,6.34,4.04,39.6,60.4
"19","Albania",1997,30.1,72.5,33372.2327810319,28,717,62.2,6.47,4.81,39.2,60.8
"20","Albania",1998,28.7,74.3,28834.0672979322,28.6,814,61.4,6.1,5.34,39.5,60.5
"21","Albania",1999,27.4,74.4,29065.9109337457,29.4,1030,60.6,7.18,5.83,43.3,56.7
"22","Albania",2000,26,74.4,29406.9315449909,30.2,1130,59.6,7.03,6.35,36.1,63.9
"23","Albania",2001,24.8,74.5,28215.2300366394,30.7,1280,58.7,7.24,6.04,38.2,61.8
"24","Albania",2002,23.5,74.5,27844.0041238371,31,1430,57.6,7.32,6.28,36.1,63.9
"25","Albania",2003,22.4,74.6,27543.5374960681,31.1,1850,56.4,7.64,6.16,35.9,64.1
"26","Albania",2004,21.4,74.7,27187.8703766891,31,2370,55,9.23,6.88,39.7,60.3
"27","Albania",2005,20.4,74.9,26644.8284181533,30.7,2670,53.5,9.79,6.84,40.2,59.8
"28","Albania",2006,19.4,75.2,26156.2747774616,30.4,2970,52.2,9.05,6.73,39.4,60.6
"29","Albania",2007,18.6,75.4,25418.6414533222,30.2,3600,50.9,8.46,6.88,38.2,61.8
"30","Albania",2008,17.9,75.6,25247.4333507622,30,4370,49.7,8.21,6.75,39.6,60.4
"31","Albania",2009,17.2,75.9,24604.5828483905,29.7,4110,48.6,8.42,6.88,41.2,58.8
"32","Albania",2010,16.6,76.3,24260.8818405595,29.5,4090,47.9,8.42,6.55,39,61
"33","Algeria",1995,43.3,72.3,33671.8630471514,35.5,1450,76.5,10,4.17,75.4,24.6
"34","Algeria",1996,42.3,72.8,32826.8683644298,34.9,1600,74,10.1,3.79,77.6,22.4
"35","Algeria",1997,41.5,73,33136.5391596422,34.4,1620,71.2,9.75,4.06,74.3,25.6
"36","Algeria",1998,40.8,73.1,32528.4116314264,34,1600,68.4,9.61,4.06,73.8,26.2
"37","Algeria",1999,40.3,73.5,31783.9053273813,33.5,1590,65.6,9.44,3.87,72.8,27.1
"38","Algeria",2000,39.7,73.9,31611.7455158528,33.1,1770,62.9,8.96,3.49,73.3,26.7
"39","Algeria",2001,38.9,74.1,31018.8887277511,32.6,1740,60.1,9.51,3.84,77.4,22.6
"40","Algeria",2002,37.8,74.4,30440.1477969706,32.2,1780,57.6,8.74,3.87,77.3,22.7
"41","Algeria",2003,36.5,74.5,30212.4293886807,31.7,2100,55.4,9.15,3.74,78.7,21.3
"42","Algeria",2004,35.1,75.1,29328.8859127612,31.2,2610,53.4,7.8,3.38,71.1,28.9
"43","Algeria",2005,33.5,75.4,28867.146615211,30.8,3110,51.7,8.14,3.06,72.1,27.9
"44","Algeria",2006,32.1,75.6,28473.318654917,30.3,3480,50.4,8.07,3.13,74.4,25.6
"45","Algeria",2007,30.7,75.9,28163.6250925546,29.9,3950,49.5,8.22,3.53,77.3,22.7
"46","Algeria",2008,29.4,76.1,27726.3088167039,29.4,4920,48.9,7.84,3.73,79.5,20.5
"47","Algeria",2009,28.3,76.3,27332.2184668505,29,3880,48.6,8.6,4.58,79.3,20.7
"48","Algeria",2010,27.3,76.5,26834.7492570509,28.5,4480,48.7,8.12,4.17,77.9,22.1
"49","Angola",1995,223,52,96409.4302052675,52.5,397,101,5,3.79,86.8,13.2
"50","Angola",1996,222,52.3,94231.5582488767,52.4,523,101,2.68,2.17,76.9,23.1
"51","Angola",1997,220,52.7,93719.9504732118,52.3,514,102,3.57,2.26,77.9,22.1
"52","Angola",1998,217,52.8,96794.8764208919,52.2,424,101,3.15,1.85,73,26.9
"53","Angola",1999,212,52.9,91687.4413836084,52.1,388,101,1.76,1.94,74.2,25.8
"54","Angola",2000,207,53.4,88523.6910572787,51.8,557,101,3.26,2.41,79.2,20.8
"55","Angola",2001,201,53.6,86052.882445937,51.3,527,102,6.06,3.45,85.5,14.5
"56","Angola",2002,194,54.5,82514.6312776367,50.6,872,102,3.74,2.36,78.8,21.1
"57","Angola",2003,186,55.1,80312.030770386,49.7,983,102,4.83,2.64,81.1,18.9
"58","Angola",2004,177,55.7,78548.8444263245,48.5,1260,102,4.12,2.09,76,24
"59","Angola",2005,167,56.5,75616.546323121,47.3,1900,102,4.38,1.96,74.5,25.5
"60","Angola",2006,158,57,73556.8130322449,46.2,2600,102,6.06,2.42,79.3,20.7
"61","Angola",2007,148,57.8,70034.7069357784,45,3120,103,5.75,2.52,80.2,19.8
"62","Angola",2008,138,58.6,67366.2845445143,44.1,4080,103,6.4,3.19,84.3,15.7
"63","Angola",2009,128,59.3,65122.5881879965,43.4,3120,102,10.1,4.95,89.9,10.1
"64","Angola",2010,119,60.1,62840.8882861811,42.9,3590,102,7.18,2.85,82.5,17.5
"65","Antigua and Barbuda",1995,19.5,74.4,28436.7057705235,40,8410,60.8,12.9,4.88,66.5,33.5
"66","Antigua and Barbuda",1996,18.4,74.4,28259.9591046217,40,9030,59.4,12,4.61,64.2,35.8
"67","Antigua and Barbuda",1997,17.4,74.8,27903.4882894493,40,9490,58.3,12,4.64,66,34
"68","Antigua and Barbuda",1998,16.5,75,27721.2849628809,40,9940,57.6,12,4.64,68,32
"69","Antigua and Barbuda",1999,15.6,74.9,27592.0255401891,40,10300,57.3,11.8,4.68,69.3,30.7
"70","Antigua and Barbuda",2000,14.9,74.7,27376.90206166,40,10900,57,12.1,4.77,69,31
"71","Antigua and Barbuda",2001,14.2,75.1,27100.9585628891,40,10400,56.5,9.37,4.61,65.5,34.5
"72","Antigua and Barbuda",2002,13.6,75.3,26780.1749082399,40,10400,55.9,8.82,4.62,65.2,34.8
"73","Antigua and Barbuda",2003,13.1,75.5,26455.6398824657,40,10800,55.4,9.84,4.71,64.2,35.8
"74","Antigua and Barbuda",2004,12.6,75.7,26254.5806638923,40,11400,55.2,10.6,4.67,63.4,36.6
"75","Antigua and Barbuda",2005,12.1,75.9,25948.4525178758,40,12500,55.3,10.2,4.66,63.1,36.9
"76","Antigua and Barbuda",2006,11.7,76,25732.6549293035,40,14000,54.5,8.75,4.52,65.7,34.3
"77","Antigua and Barbuda",2007,11.4,76.4,25399.1396270118,40,15600,53.6,9.68,4.45,66.4,33.6
"78","Antigua and Barbuda",2008,11,76.6,25182.117720076,40,16000,52.6,10.1,4.3,67.9,32.1
"79","Antigua and Barbuda",2009,10.6,76.9,24965.7496333881,40,14100,51.5,7.96,4.81,67.1,32.9
"80","Antigua and Barbuda",2010,10.3,76.8,24919.9992964283,40,13100,50.3,16.7,6.03,71,29
"81","Argentina",1995,24.3,73.1,30003.0604241873,47.7,7410,63.1,15.3,8.31,59.8,40.2
"82","Argentina",1996,23.2,73.3,30091.3139672538,48.8,7720,62.6,15.2,8.03,57.7,42.3
"83","Argentina",1997,22.1,73.5,29754.2432887092,49.6,8210,62.2,15,8.36,54.5,45.5
"84","Argentina",1998,21.1,73.7,29624.9732527495,50,8290,61.8,14.9,8.54,54.2,45.8
"85","Argentina",1999,20.2,73.9,29327.453423708,50.8,7770,61.4,15.1,9.35,55.1,44.9
"86","Argentina",2000,19.4,74.2,28536.0280733608,51.7,7710,61,14.7,9.21,53.9,46.1
"87","Argentina",2001,18.7,74.4,28284.4845763932,51.7,7210,60.5,14.3,9.41,54.2,45.8
"88","Argentina",2002,18.1,74.5,28383.8857649186,51.4,2590,60.1,15.3,8.32,53.6,46.4
"89","Argentina",2003,17.6,74.6,28072.6793457084,50.8,3350,59.7,14.8,8.31,52.3,47.7
"90","Argentina",2004,17.1,74.9,27127.1837194465,49.4,4280,59.3,15.2,8.32,52.3,47.7
"91","Argentina",2005,16.6,75.2,26607.6104406411,47.9,5110,58.8,14.3,8.45,54.2,45.8
"92","Argentina",2006,16.1,75.3,26509.1564427322,46.7,5920,58.5,14.4,8.45,55.8,44.2
"93","Argentina",2007,15.8,75.3,26892.6494546243,45.8,7250,58.1,13.9,8.44,59.4,40.6
"94","Argentina",2008,15.4,75.5,26453.7560525653,44.9,9020,57.6,13.8,8.44,62.6,37.4
"95","Argentina",2009,15,75.7,26265.253326089,44,8230,57.2,14.7,9.53,66.4,33.6
"96","Argentina",2010,14.5,75.8,25894.5094924236,43,10400,56.9,14.7,8.1,54.6,45.4
"97","Armenia",1995,38.7,69.3,36540.1657242922,43.3,456,60.9,8.3,6.45,31,69
"98","Armenia",1996,36.8,69.5,35433.0228228119,42.5,504,60.4,8.44,5.81,27.9,72.1
"99","Armenia",1997,35,70.3,34160.8322614841,41,523,59.5,7.71,5.79,24.3,75.7
"100","Armenia",1998,33.3,70.7,33048.5385957385,39.4,609,58.3,7.68,5.78,28.5,71.5
"101","Armenia",1999,31.6,71.2,32233.9631793318,37.6,597,57,6.87,5.7,28.3,71.7
"102","Armenia",2000,30.1,71.8,31497.2081828451,36.2,623,55.9,4.61,6.27,18.1,81.9
"103","Armenia",2001,28.6,72.1,30966.130234745,35,694,54.6,6.73,5.95,26.7,73.3
"104","Armenia",2002,27.2,72.5,30470.8182172312,35.3,783,53.6,6.19,5.41,25.2,74.8
"105","Armenia",2003,25.9,72.5,29926.966189429,35.3,930,52.7,6.76,5.56,27.3,72.8
"106","Armenia",2004,24.6,72.7,29329.9768600627,34.2,1190,51.7,6.76,5.49,25.4,74.6
"107","Armenia",2005,23.4,72.5,28900.8969776457,33.5,1640,50.4,6.79,4.86,30.4,69.6
"108","Armenia",2006,22.2,72.5,28425.846496004,32.7,2160,49.3,7.42,4.18,38,62
"109","Armenia",2007,21.1,72.9,27813.1487602994,30.8,3140,48.1,6.81,3.88,41.6,58.4
"110","Armenia",2008,20,72.8,27892.1683632954,29.6,4010,46.8,7.24,3.77,44.5,55.5
"111","Armenia",2009,19,73,27878.9820590933,29.6,2990,45.8,6.62,4.59,43.5,56.5
"112","Armenia",2010,18.1,73.3,27681.600337874,29.2,3220,45.1,6.42,4.4,40.6,59.4
"113","Australia",1995,7,78.3,23016.8351568252,32.7,20300,50.2,13.1,7.22,65.8,34.2
"114","Australia",1996,6.8,78.5,22900.1844779218,32.8,21900,50.2,13.6,7.41,65.3,34.8
"115","Australia",1997,6.6,78.8,22595.4340470587,32.9,23500,50.1,14.5,7.46,66.9,33.1
"116","Australia",1998,6.4,79.1,22319.7812908744,33,21300,50,14.5,7.63,66.4,33.6
"117","Australia",1999,6.3,79.4,22050.312631767,33.2,20500,49.8,15.4,7.76,68.4,31.6
"118","Australia",2000,6.2,79.7,21715.4637095473,33.3,21700,49.7,15.1,8.03,66.8,33.2
"119","Australia",2001,6.1,80,21275.0587185136,33.4,19500,49.4,15.4,8.12,66.3,33.7
"120","Australia",2002,6,80.2,21022.4360815737,33.5,20100,49.1,16.3,8.36,66.9,33.1
"121","Australia",2003,5.9,80.5,20685.3662917237,33.7,23400,48.9,15.9,8.28,66.1,33.9
"122","Australia",2004,5.8,80.8,20382.8687778174,34,30400,48.7,16.5,8.54,66.7,33.3
"123","Australia",2005,5.7,81.1,20128.983105304,34.3,34000,48.6,16.7,8.43,66.9,33.1
"124","Australia",2006,5.6,81.3,19891.7339120471,34.7,36000,48.3,16.8,8.46,66.6,33.4
"125","Australia",2007,5.4,81.4,19859.5732150981,34.9,41000,48,17.2,8.48,67.5,32.5
"126","Australia",2008,5.2,81.6,19753.7075606214,35,49600,47.9,16.8,8.73,68,32
"127","Australia",2009,5,81.8,19667.4876069502,34.2,42800,48,16.8,8.73,68,32
"128","Australia",2010,4.8,82,19446.6732197875,33.6,52000,48.2,16.8,8.73,68,32
"129","Austria",1995,6.8,76.7,23905.60890709,27.2,30300,48.9,12.5,9.52,74,26.1
"130","Austria",1996,6.4,77,23543.1353759704,27.3,29800,49,12.4,9.46,73.5,26.5
"131","Austria",1997,6,77.3,22920.8113266004,27.4,26700,48.7,13.8,9.78,75.7,24.3
"132","Austria",1998,5.8,77.5,22673.137538527,27.8,27400,48.2,14.1,9.93,76,24
"133","Austria",1999,5.6,77.8,22409.2119496242,28.2,27200,47.7,14.4,10.1,76.8,23.3
"134","Austria",2000,5.5,78.1,22234.0423994469,28.6,24600,47.4,14.7,9.9,76.8,23.2
"135","Austria",2001,5.4,78.5,21756.8429323016,29,24500,47.2,14.8,10,76.1,23.9
"136","Austria",2002,5.3,78.7,21509.2342425078,29.3,26400,47.1,15,10,75.8,24.2
"137","Austria",2003,5.2,78.9,21412.1754061133,29.3,32200,47.2,15,10.2,75.5,24.5
"138","Austria",2004,5.1,79.2,21053.9017836544,29.4,36800,47.3,14.5,10.3,75.7,24.3
"139","Austria",2005,4.9,79.5,20819.6579271367,29.6,38400,47.3,15.7,10.3,76.1,23.9
"140","Austria",2006,4.8,79.8,20341.028544208,29.8,40600,47.5,15.7,10.2,76,24
"141","Austria",2007,4.6,80,20232.5521135485,30.2,46900,47.6,16,10.2,76.4,23.6
"142","Austria",2008,4.6,80.2,20057.0212885772,30.5,51700,47.8,16.2,10.4,77.2,22.8
"143","Austria",2009,4.5,80.3,20219.9349900852,30.7,48000,47.9,16.2,11,77.7,22.3
"144","Austria",2010,4.3,80.5,20048.1213192527,30.7,46900,48.1,16.2,11,77.5,22.5
"145","Azerbaijan",1995,94.1,64.9,46677.9097156095,34.6,397,62.9,6.93,5.86,23.8,76.3
"146","Azerbaijan",1996,91.9,65.3,46133.1569417912,34.9,409,62.5,8.43,6.2,23.9,76
"147","Azerbaijan",1997,88.6,65.6,45695.6966556505,35.3,506,61.8,6.59,5.49,22.4,77.6
"148","Azerbaijan",1998,84.4,65.8,45437.415228446,35.6,562,60.7,5.89,5.49,16.5,83.5
"149","Azerbaijan",1999,79.6,66.1,44783.8737500756,35.9,574,59.4,5.71,5.4,18.3,81.7
"150","Azerbaijan",2000,74.3,66.6,43909.5745211506,35.8,655,57.9,5.35,4.68,18.5,81.5
"151","Azerbaijan",2001,69.1,67.2,43027.0333798577,35.5,704,56,5.57,4.48,18.9,81.1
"152","Azerbaijan",2002,64,67.5,43026.1894067182,34.9,763,54.1,5.15,4.47,17.7,82.3
"153","Azerbaijan",2003,59.5,67.3,43184.1210017125,34.1,884,52.1,4.8,6.55,12.7,87.3
"154","Azerbaijan",2004,55.5,67.4,42756.4799141606,33,1050,50.1,5.92,7.9,13,87
"155","Azerbaijan",2005,51.9,67.6,42287.0643767543,32.3,1580,48,5.15,7.8,11.3,88.7
"156","Azerbaijan",2006,48.8,68,41211.45600892,31.9,2470,46.1,4.27,6.09,14.2,85.8
"157","Azerbaijan",2007,46,68.3,39840.3635753968,31.7,3850,44.2,4.57,5,19.6,80.4
"158","Azerbaijan",2008,43.5,68.4,39062.9814264869,31.8,5570,42.5,3.1,4.28,19.3,80.7
"159","Azerbaijan",2009,41.2,68.8,38278.5161140863,32.1,4950,41.1,4.54,5.79,23.1,76.9
"160","Azerbaijan",2010,39.2,69.1,37788.9818628656,32.2,5840,40.2,4.22,5.88,20.3,79.7
"161","Bahamas",1995,18.7,70.6,33755.0436972121,43.7,12200,56.3,14.2,6.85,39.9,60.1
"162","Bahamas",1996,17.8,70.7,34221.9557347045,43.7,12700,56.2,13.9,6.92,40.1,59.9
"163","Bahamas",1997,17.1,70.8,32984.7499552156,43.7,22000,55.5,13.7,6.47,41.8,58.2
"164","Bahamas",1998,16.5,71,32202.294439278,43.7,23500,54.5,13.8,6.28,44.9,55.1
"165","Bahamas",1999,16.2,71.1,33160.2641577275,43.7,26100,53.6,14.4,6.06,46.8,53.3
"166","Bahamas",2000,16.1,71.3,32604.6423326128,43.7,27100,53,14.5,5.91,47.6,52.4
"167","Bahamas",2001,16.1,71.5,32270.3862059131,43.7,27500,51.6,13.6,5.88,47.5,52.5
"168","Bahamas",2002,16.2,71.6,31067.5055175881,43.7,28900,50.3,14.6,6.11,47.1,52.9
"169","Bahamas",2003,16.3,72.2,30184.1554696746,43.7,28300,49.2,14.9,6.51,46.7,53.3
"170","Bahamas",2004,16.3,72.7,30224.8689439564,43.7,28400,47.9,15.2,7,47.2,52.8
"171","Bahamas",2005,16.2,73,29430.4808372931,43.7,30300,46.7,14.7,7.04,44.3,55.7
"172","Bahamas",2006,16,73.3,29860.6095621872,43.7,30700,46,16.5,8.03,47.2,52.8
"173","Bahamas",2007,15.6,73.6,29170.2092286115,43.7,31500,45.3,15.7,8.14,45,55
"174","Bahamas",2008,15.1,73.7,29157.3168131106,43.7,30600,44.3,15.2,8.38,45.2,54.8
"175","Bahamas",2009,14.5,73.8,29376.749052791,43.7,28600,43.1,15.3,8.32,46.8,53.2
"176","Bahamas",2010,13.8,73.8,29326.3970769065,43.7,28400,41.8,14.2,7.89,45.6,54.4
"177","Bahrain",1995,18.1,70.3,34345.6835655858,40,10400,48.5,11.3,4.58,69.6,30.4
"178","Bahrain",1996,16.6,70.8,33819.131236324,40,10500,48.4,11.6,4.55,69.2,30.8
"179","Bahrain",1997,15.2,71.2,33325.518862127,40,10700,48.1,11.2,4.65,70.1,29.9
"180","Bahrain",1998,14.1,71.5,32677.3976628075,40,10100,48.1,10.5,4.71,68.8,31.2
"181","Bahrain",1999,13.2,71.8,31531.9280639604,40,10400,48.7,11.2,4.67,69.2,30.8
"182","Bahrain",2000,12.5,71.7,31309.5877850892,40,13600,49.6,10.2,3.95,67.5,32.5
"183","Bahrain",2001,12,72.3,29345.8173720722,40,12900,47,10.3,4.26,67,33
"184","Bahrain",2002,11.6,72.6,28532.7893259437,40,13100,44.8,9.47,4.39,66.6,33.4
"185","Bahrain",2003,11.3,72.9,28343.8218213185,40,14200,43.3,9.64,4.25,66.9,33.1
"186","Bahrain",2004,11,73.1,27914.8159825133,40,15800,42,9.43,3.95,67.2,32.8
"187","Bahrain",2005,10.6,73.6,26943.2901929602,40,18000,41,10,3.71,69,31
"188","Bahrain",2006,10.2,73.8,26194.4271492011,40,19300,37,9.49,3.54,70,30
"189","Bahrain",2007,9.8,74.6,25148.270338837,40,21000,33.8,9.82,3.63,70.7,29.3
"190","Bahrain",2008,9.4,75.2,24361.2395107803,40,23100,31.3,10.8,4.22,71.2,28.8
"191","Bahrain",2009,9,75.7,23568.8287616327,40,19400,29.3,11.4,4.67,70.1,29.9
"192","Bahrain",2010,8.6,76,23032.7808105691,40,20700,27.8,11.4,4.97,73.3,26.7
"193","Bangladesh",1995,114,61.7,57285.4886268864,31.4,329,76.4,8.84,3.53,36.1,63.9
"194","Bangladesh",1996,108,62.6,55518.5066915432,32.2,395,75,9,3.46,36.2,63.8
"195","Bangladesh",1997,103,63.5,53929.0943063633,32.8,401,73.6,8.74,2.75,42.3,57.7
"196","Bangladesh",1998,97.3,64.3,52394.6566327787,33.2,407,72.1,8.64,2.73,40.8,59.2
"197","Bangladesh",1999,92.2,65.2,51097.4307850554,33.3,410,70.7,8.12,2.76,39.9,60.1
"198","Bangladesh",2000,87.4,65.5,50425.0475965607,33.3,418,69.2,7.56,2.81,39,61
"199","Bangladesh",2001,82.8,66,49474.716082452,33.3,415,68.1,8.07,2.98,39.9,60.1
"200","Bangladesh",2002,78.4,66.5,48649.9101983287,33.3,413,66.9,8.23,3.09,39.7,60.3
"201","Bangladesh",2003,74.3,67.1,47822.5997543888,33.3,446,65.7,7.86,3.04,37.6,62.4
"202","Bangladesh",2004,70.3,67.6,46712.4692528138,33.2,475,64.4,8.17,3.12,38.8,61.2
"203","Bangladesh",2005,66.5,68,45718.7611733214,33.1,499,63.2,7.46,3.21,34.9,65.1
"204","Bangladesh",2006,62.8,68.5,44603.3134278188,33,510,62.3,8.44,3.4,36.5,63.5
"205","Bangladesh",2007,59.3,68.9,43898.2431090558,32.8,558,61.3,8.41,3.46,34.4,65.6
"206","Bangladesh",2008,55.8,69.5,42595.4408362717,32.6,635,60.3,6.15,3.33,31.7,68.3
"207","Bangladesh",2009,52.6,70.1,41109.7572679621,32.4,702,59.3,8.01,3.41,33,67
"208","Bangladesh",2010,49.4,70.4,40092.4243925229,32.3,781,58.3,7.92,3.52,34.3,65.7
"209","Barbados",1995,14.7,73.7,27739.7860498499,46,8510,50.4,13.5,6.34,68,32
"210","Barbados",1996,14.5,74,27231.0215011251,45.8,9030,50.4,12.4,6.16,68.3,31.7
"211","Barbados",1997,14.4,74.3,27097.615556039,45.7,9510,50.3,11.3,5.94,65.2,34.8
"212","Barbados",1998,14.4,74.6,26817.8339849381,45.5,10700,50.2,11.7,5.93,65.4,34.6
"213","Barbados",1999,14.6,74.9,26513.0462423261,45.4,11100,50.2,11.9,6.12,65.4,34.6
"214","Barbados",2000,14.8,74.9,26463.0290654342,45.2,11500,50.3,11.7,6.29,65.8,34.2
"215","Barbados",2001,15,75.3,25785.6761829774,45.1,11400,49.6,11.9,6.67,67.6,32.4
"216","Barbados",2002,15.2,75.5,25720.8635984342,44.9,11600,49.1,12.4,7.28,68.4,31.6
"217","Barbados",2003,15.4,75.7,25606.0560737179,44.8,11900,48.8,12.3,6.96,65.6,34.4
"218","Barbados",2004,15.5,75.8,25561.0868391015,44.7,12800,48.4,12.4,6.99,64.5,35.5
"219","Barbados",2005,15.4,75.9,25533.7313594561,44.5,14100,48,11.8,6.96,64.4,35.6
"220","Barbados",2006,15.2,76,25289.0106819882,44.4,15100,47.8,12.4,7.12,64.8,35.2
"221","Barbados",2007,15,76.2,24929.3175630331,44.2,16800,47.7,9.52,6.97,64,36
"222","Barbados",2008,14.7,76.5,24626.7485289316,44.1,17100,47.5,9.69,7.11,65.5,34.5
"223","Barbados",2009,14.5,76.6,24307.0518006296,44,15900,47.6,7.78,5.9,58.6,41.4
"224","Barbados",2010,14.2,76.7,24240.5796823271,43.9,16100,47.9,9.28,7.97,65,35
"225","Belarus",1995,15.7,68.3,38754.8263195843,27.3,1370,51.7,11.5,6.74,71.1,28.9
"226","Belarus",1996,15.5,68.3,38472.8651963662,29.3,1450,51,11.5,6.24,75.3,24.7
"227","Belarus",1997,15.1,68.2,38652.1269356765,30.7,1400,50.1,12.1,6.59,82.3,17.7
"228","Belarus",1998,14.5,68.2,39176.5759561799,31.1,1510,49.1,10.1,5.96,77,23
"229","Belarus",1999,13.7,68.1,39680.9803611187,31.3,1210,48,9.97,6.16,76.5,23.5
"230","Belarus",2000,12.8,68.5,38057.1301978922,31.2,1280,46.9,10.1,6.13,75.5,24.5
"231","Belarus",2001,11.8,68.3,38876.1210681746,30.5,1240,46.3,10.1,6.63,71.5,28.4
"232","Belarus",2002,10.9,68.1,39830.0331221032,29.5,1480,45.7,9.83,6.47,70.5,29.5
"233","Belarus",2003,10,68.5,38695.8932622012,28.8,1820,45.1,10.3,6.59,73.8,26.2
"234","Belarus",2004,9.3,68.7,37896.4068763508,28.3,2380,44.4,10.8,6.59,74.7,25.3
"235","Belarus",2005,8.5,68.9,38088.860518827,28.1,3130,43.5,10.5,6.89,72.9,27.1
"236","Belarus",2006,7.8,69.4,36842.6249346348,28,3850,42.9,9.46,6.34,70.2,29.8
"237","Belarus",2007,7.2,69.9,35264.0331259707,28.2,4740,42.1,9.08,6.44,69.2,30.9
"238","Belarus",2008,6.6,70.2,34950.8685471733,28.4,6380,41.3,6.97,5.95,65.1,34.9
"239","Belarus",2009,6,70.3,34768.7091602386,28.2,5350,40.7,8.4,6.08,64,36
"240","Belarus",2010,5.5,70.4,34765.4239816442,27.6,6180,40.5,9.95,5.61,77.7,22.3
"241","Belgium",1995,7.6,76.9,24282.7136015524,25.4,28600,51.5,11.2,7.61,76.8,23.2
"242","Belgium",1996,7.1,77.1,23789.9284681224,26.1,27700,51.9,11.8,7.91,78.2,21.8
"243","Belgium",1997,6.7,77.3,23613.3108222938,26.6,25000,52.1,11.4,7.76,75.4,24.6
"244","Belgium",1998,6.4,77.5,23419.1549264104,27.1,25500,52.3,11.7,7.89,74.8,25.2
"245","Belgium",1999,6.1,77.6,23267.027127677,27.5,25400,52.5,12,8.08,74.6,25.4
"246","Belgium",2000,5.9,77.8,23213.499523994,27.8,23200,52.6,12.3,8.12,74.6,25.4
"247","Belgium",2001,5.7,78,22945.1271015688,28,23100,52.5,12.7,8.29,75.4,24.6
"248","Belgium",2002,5.5,78.2,22727.5720421538,28.6,25100,52.5,12.6,8.46,73.8,26.2
"249","Belgium",2003,5.3,78.5,22429.943237608,28.9,30700,52.4,14.7,10,74.8,25.2
"250","Belgium",2004,5.2,78.8,21977.0200613743,28.8,35600,52.2,15.6,10.1,76,24
"251","Belgium",2005,5,79.1,21818.477233592,29.1,37000,52,14.6,10,75.9,24.1
"252","Belgium",2006,4.9,79.4,21453.3105029098,29.1,38900,51.9,14.6,9.59,73.9,26.1
"253","Belgium",2007,4.8,79.5,21478.1304353714,28.7,44400,51.7,14.7,9.64,73.5,26.5
"254","Belgium",2008,4.7,79.6,21377.2172426842,28.5,48400,51.4,15.1,10,75,25
"255","Belgium",2009,4.6,79.8,21149.8877042208,28.5,44900,51.3,15.1,10.8,75.1,24.9
"256","Belgium",2010,4.5,80,20923.3558361487,28.2,44400,51.4,15.1,10.7,74.7,25.3
"257","Belize",1995,29.5,70.7,32899.2893898249,59.1,3000,89.3,10.5,4.23,62.2,37.8
"258","Belize",1996,28.2,70.6,33779.9421786844,58.1,3000,87.3,8.17,3.62,56.6,43.4
"259","Belize",1997,27.1,69.8,34249.3314120994,56.5,2950,85.1,8.95,3.9,58,42
"260","Belize",1998,26,69.6,36740.9780840076,55.7,2990,83.2,7.71,3.78,57,43
"261","Belize",1999,25.1,69.2,35296.6504614006,55,3070,81.8,6.11,3.65,55.8,44.3
"262","Belize",2000,24.1,68.9,35649.7089598834,53.6,3360,80.7,6.51,3.96,52.8,47.2
"263","Belize",2001,23.3,68.7,34669.990067131,53.3,3420,79.3,7.36,4.49,57.7,42.3
"264","Belize",2002,22.6,69.2,33918.4909296001,53.3,3550,78,7.39,4.36,56.3,43.7
"265","Belize",2003,22,69.4,33517.2884447218,53.3,3680,76.6,8.5,4.52,57.4,42.6
"266","Belize",2004,21.4,69.7,32949.935265673,53.3,3830,75,8.05,4.38,57.3,42.7
